,X,Y
LAYER 1A,1469.38,392.30
,1483.56,367.74
,1433.60,338.89
,1433.60,247.47
,1517.42,199.08
,1517.42,95.76
,1459.58,62.37
,1459.58,-159.78
,1433.95,-159.78
,1433.95,-338.08
,1483.56,-366.72
,1468.46,-392.89
,315.84,-83.86
,315.84,83.39
,,
,X,Y
LAYER 1B,1075.92,1073.29
,1230.69,805.22
,1220.64,799.42
,1302.64,657.39
,1312.69,663.19
,1468.38,393.53
,315.71,84.85
,232.08,229.70
,,
,X,Y
LAYER 2A,1469.38,392.30
,1483.56,367.74
,1433.60,338.89
,1433.60,247.47
,1517.42,199.08
,1517.42,95.76
,1459.58,62.37
,1459.58,-159.78
,1433.95,-159.78
,1433.95,-338.08
,1483.56,-366.72
,1468.46,-392.89
,315.84,-83.86
,315.84,83.39
,,
,X,Y
LAYER 2B,1075.92,1073.29
,1230.69,805.22
,1220.64,799.42
,1302.64,657.39
,1312.69,663.19
,1468.38,393.53
,315.71,84.85
,232.08,229.70
,,
,X,Y
LAYER 3A,1433.95,382.30
,1433.95,247.27
,1517.42,199.08
,1517.42,96.92
,1476.17,73.10
,1476.17,-159.77
,1433.95,-159.77
,1433.95,-384.15
,315.84,-84.37
,315.84,82.88
,,
,X,Y
LAYER 3B,1051.83,1048.51
,1059.25,1044.22
,1092.48,1032.75
,1181.06,973.81
,1229.50,903.43
,1268.29,822.32
,1237.00,804.25
,1315.00,669.15
,1346.29,687.22
,1397.14,613.06
,1433.88,535.92
,1433.95,383.80
,315.96,84.41
,232.33,229.26
,,
,X,Y
LAYER 4A,1433.95,382.30
,1433.95,247.27
,1517.42,199.08
,1517.42,96.92
,1476.17,73.10
,1476.17,-159.77
,1433.95,-159.77
,1433.95,-384.15
,315.84,-84.37
,315.84,82.88
,,
,X,Y
LAYER 4B,1051.83,1048.51
,1059.25,1044.22
,1092.48,1032.75
,1181.06,973.81
,1229.50,903.43
,1268.29,822.32
,1237.00,804.25
,1315.00,669.15
,1346.29,687.22
,1397.14,613.06
,1433.88,535.92
,1433.95,383.80
,315.96,84.41
,232.33,229.26
,,
,X,Y
LAYER 5A,1510.84,402.90
,1524.77,378.78
,1524.77,296.13
,1517.77,284.00
,1517.77,97.12
,1492.76,82.68
,1492.76,-150.12
,1523.77,-203.83
,1523.77,-379.50
,1509.41,-404.37
,315.84,-84.37
,315.84,82.88
,,
,X,Y
LAYER 5B,1106.34,1103.02
,1109.78,1097.04
,1145.64,1048.68
,1181.34,973.33
,1265.96,924.48
,1265.96,820.97
,1251.37,812.55
,1329.37,677.45
,1343.96,685.87
,1433.60,634.11
,1433.60,536.41
,1480.52,468.67
,1509.75,404.29
,315.96,84.41
,232.33,229.26
,,
,X,Y
LAYER 6A,1510.84,402.90
,1524.77,378.78
,1524.77,290.84
,1517.77,278.71
,1517.77,14.40
,1501.05,14.40
,1501.05,-153.94
,1523.77,-153.94
